,words,nots
3411,flūmine,feminine
3412,aliam,demonstrative
3413,lēgibus,genitive
3414,absunt,perfect
3415,Belgae,ablative
3416,flūminis,feminine
3417,incolunt,1st person
3418,quā,noun
3419,Belgae,accusative
3420,atque,pronoun
3421,ūnam,plural
3422,proeliīs,nominative
3423,fortissimī,feminine
3424,quibus,singular
3425,proeliīs,accusative
3426,ab,conjunction
3427,inter,conjunction
3428,virtūte,plural
3429,Gallia,neuter
3430,et,adjective
3431,fīnibus,nominative
3432,sōlis,neuter
3433,Galliae,ablative
3434,omnis,plural
3435,pertinent,pluperfect
3436,etiam,pronoun
3437,pertinent,1st person
3438,atque,adjective
3439,cotīdiānīs,superlative
3440,atque,adjective
3441,ea,ablative
3442,partēs,ablative
3443,partēs,ablative
3444,partēs,ablative
3445,partēs,ablative
3446,atque,adjective
3447,capit,passive
3448,capit,passive
3449,capit,passive
3450,aliam,comparative
3451,gerunt,semi-deponent
3452,pars,accusative
3453,suīs,nominative
3454,prōvinciae,accusative
3455,Galliae,nominative
3456,Galliae,nominative
3457,cotīdiānīs,comparative
3458,hōrum,nominative
3459,eōs,dative
3460,et,adjective
3461,pars,masculine
3462,fortissimī,comparative
3463,fortissimī,comparative
3464,continētur,plural
3465,ūna,dative
3466,montēs,ablative
3467,atque,adjective
3468,oriuntur,not deponent
3469,oriuntur,not deponent
3470,oriuntur,not deponent
3471,flūminis,plural
3472,flūminis,plural
3473,partēs,singular
3474,Gallia,plural
3475,Gallia,plural
3476,quārum,noun
3477,quārum,noun
3478,quārum,noun
3479,trēs,singular
3480,ab,preposition w/ acc.
3481,tertiam,plural
3482,eam,2nd person
3483,spectant,semi-deponent
3484,causā,masculine
3485,Germānīs,plural
3486,proeliīs,singular
3487,gerunt,passive
3488,dīvīsa,comparative
3489,dīvīsa,comparative
3490,continētur,active
3491,Galliae,masculine
3492,Galliae,masculine
3493,causā,genitive
3494,causā,genitive
3495,Belgārum,dative
3496,Belgārum,dative
3497,lēgibus,plural
3498,montēs,dative
3499,partem,plural
3500,quae,demonstrative
3501,quae,demonstrative
3502,proximī,feminine
3503,proximī,feminine
3504,proximī,feminine
3505,bellum,plural
3506,bellum,plural
3507,occāsum,plural
3508,occāsum,plural
3509,absunt,imperative
3510,absunt,imperative
3511,hōrum,singular
3512,capit,subjunctive
3513,eōrum,feminine
3514,Belgārum,singular
3515,obtinēre,gerund
3516,absunt,imperfect
3517,ad,preposition w/ abl.
3518,reliquōs,singular
3519,obtinēre,indicative
3520,obtinēre,indicative
3521,quārum,noun
3522,etiam,pronoun
3523,etiam,pronoun
3524,etiam,pronoun
3525,Celtae,accusative
3526,Celtae,accusative
3527,est,imperative
3528,reliquōs,singular
3529,omnis,plural
3530,spectat,imperfect
3531,ab,noun
3532,pertinent,future
3533,flūmine,genitive
3534,flūmine,genitive
3535,cotīdiānīs,accusative
3536,cotīdiānīs,accusative
3537,cotīdiānīs,accusative
3538,est,subjunctive
3539,quī,demonstrative
3540,-que,adjective
3541,dictum est,plural
3542,continenter,comparative
3543,sē,dative
3544,sē,dative
3545,Belgārum,feminine
3546,cotīdiānīs,comparative
3547,dīvīsa,superlative
3548,Germānīs,superlative
3549,Germānīs,superlative
3550,fortissimī,genitive
3551,fortissimī,genitive
3552,fortissimī,genitive
3553,dictum est,masculine
3554,sōlem,nominative
3555,sōlis,ablative
3556,ea,indefinite
3557,quae,masculine
3558,linguā,nominative
3559,Belgae,ablative
3560,Belgae,ablative
3561,Belgae,ablative
3562,dīvīsa,semi-deponent
3563,dīvīsa,semi-deponent
3564,sōlis,plural
3565,hōrum,interrogative
3566,absunt,future perfect
3567,linguā,plural
3568,continētur,plural
3569,pars,neuter
3570,pertinet,deponent
3571,ad,conjunction
3572,spectat,imperative
3573,contendunt,semi-deponent
3574,Gallia,genitive
3575,Gallia,genitive
3576,flūmine,masculine
3577,longissimē,positive
3578,reliquōs,genitive
3579,dīvidit,passive
3580,pertinent,semi-deponent
3581,prōvinciae,ablative
3582,Belgārum,singular
3583,linguā,plural
3584,montēs,genitive
3585,quibus,noun
3586,pertinent,singular
3587,fortissimī,ablative
3588,omnēs,ablative
3589,inter,conjunction
3590,flūmine,plural
3591,partem,plural
3592,pertinent,2nd person
3593,spectant,deponent
3594,initium,feminine
3595,Belgae,ablative
3596,contendunt,subjunctive
3597,Belgārum,ablative
3598,Belgae,feminine
3599,ipsōrum,adverb
3600,atque,adjective
3601,reliquōs,superlative
3602,flūmine,masculine
3603,sē,1st person
3604,obtinēre,1st person
3605,Germānīs,comparative
3606,hōrum,dative
3607,quam,noun
3608,prohibent,imperative
3609,inter,preposition w/ abl.
3610,inter,preposition w/ abl.
3611,flūminis,dative
3612,flūmen,ablative
3613,Galliae,ablative
3614,fortissimī,feminine
3615,dīvidit,plural
3616,pertinent,passive
3617,atque,adjective
3618,dē,adjective
3619,partēs,singular
3620,Belgārum,nominative
3621,minimē,adjective
3622,atque,pronoun
3623,incolunt,1st person
3624,contendunt,deponent
3625,Galliae,accusative
3626,dictum est,imperative
3627,quibus,demonstrative
3628,-que,pronoun
3629,mercātōrēs,genitive
3630,Gallia,dative
3631,cum,adverb
3632,sōlem,plural
3633,eam,2nd person
3634,eōrum,feminine
3635,eam,possessive
3636,Celtae,feminine
3637,minimē,adjective
3638,bellum,ablative
3639,lēgibus,singular
3640,proximī,dative
3641,initium,plural
3642,partem,plural
3643,Gallia,ablative
3644,in,adverb
3645,aliam,plural
3646,quod,noun
3647,Belgīs,singular
3648,partem,nominative
3649,partem,nominative
3650,quam,plural
3651,sōlis,feminine
3652,dē,adverb
3653,ab,pronoun
3654,Germānīs,singular
3655,flūmine,plural
3656,incolunt,subjunctive
3657,ūnam,plural
3658,prōvinciae,ablative
3659,cum,adverb
3660,cum,adverb
3661,atque,adjective
3662,Galliae,plural
3663,spectat,passive
3664,ea,ablative
3665,pertinent,singular
3666,trāns,conjunction
3667,spectat,subjunctive
3668,initium,genitive
3669,etiam,pronoun
3670,quod,masculine
3671,inter,preposition w/ abl.
3672,occāsum,neuter
3673,omnis,comparative
3674,contendunt,singular
3675,suīs,demonstrative
3676,dē,noun
3677,quam,plural
3678,continenter,comparative
3679,ūnam,masculine
3680,sōlem,plural
3681,spectant,2nd person
3682,proximī,feminine
3683,fīnibus,singular
3684,Hispāniam,neuter
3685,fortissimī,feminine
3686,virtūte,neuter
3687,Gallia,ablative
3688,capit,semi-deponent
3689,proeliīs,genitive
3690,pertinent,singular
3691,trēs,neuter
3692,hī,singular
3693,hī,singular
3694,-que,adjective
3695,sōlis,neuter
3696,dīvīsa,active
3697,proximī,comparative
3698,cum,adjective
3699,quī,noun
3700,pertinet,plural
3701,gerunt,2nd person
3702,montēs,ablative
3703,cotīdiānīs,superlative
3704,eōs,relative
3705,ūnam,superlative
3706,appellantur,deponent
3707,sōlis,feminine
3708,inter,conjunction
3709,absunt,deponent
3710,initium,genitive
3711,dīvīsa,ablative
3712,dictum est,subjunctive
3713,cotīdiānīs,accusative
3714,initium,plural
3715,inter,pronoun
3716,ad,pronoun
3717,pertinent,singular
3718,contendunt,imperfect
3719,contendunt,imperfect
3720,montēs,singular
3721,eam,neuter
3722,pars,ablative
3723,causā,plural
3724,eōrum,accusative
3725,Germānīs,superlative
3726,dictum est,future perfect
3727,Hispāniam,masculine
3728,quam,masculine
3729,continenter,comparative
3730,ab,adverb
3731,prōvinciae,ablative
3732,ab,pronoun
3733,proeliīs,plural
3734,Hispāniam,masculine
3735,capit,subjunctive
3736,proeliīs,singular
3737,bellum,genitive
3738,bellum,ablative
3739,orientem,neuter
3740,eōs,genitive
3741,spectat,passive
3742,animōs,dative
3743,absunt,perfect
3744,orientem,plural
3745,prohibent,deponent
3746,oriuntur,subjunctive
3747,causā,plural
3748,minimē,comparative
3749,ūnam,nominative
3750,ea,dative
3751,ipsī,adverb
3752,initium,plural
3753,animōs,singular
3754,dē,noun
3755,ūna,dative
3756,sē,demonstrative
3757,pertinet,1st person
3758,pertinet,1st person
3759,pars,plural
3760,hōrum,interrogative
3761,pertinent,semi-deponent
3762,ūnam,comparative
3763,Belgārum,ablative
3764,Belgārum,ablative
3765,Belgārum,ablative
3766,Belgārum,ablative
3767,Belgārum,ablative
3768,Belgārum,ablative
3769,Belgārum,ablative
3770,Belgārum,ablative
3771,Belgārum,ablative
3772,Belgārum,ablative
3773,Belgārum,ablative
3774,Belgārum,ablative
3775,Belgārum,ablative
3776,Belgārum,ablative
3777,Belgārum,ablative
3778,Belgārum,ablative
3779,Belgārum,ablative
3780,Belgārum,ablative
3781,Belgārum,ablative
3782,Belgārum,ablative
3783,Belgārum,ablative
3784,Belgārum,ablative
3785,Belgārum,ablative
3786,contendunt,future perfect
3787,quae,genitive
3788,quae,genitive
3789,flūminis,nominative
3790,flūminis,ablative
3791,absunt,singular
3792,quae,noun
3793,obtinēre,deponent
3794,dīvīsa,masculine
3795,omnium,singular
3796,quod,noun
3797,flūminis,dative
3798,dīvīsa,deponent
3799,minimē,adjective
3800,quam,reflexive
3801,flūminis,nominative
3802,virtūte,masculine
3803,aliam,demonstrative
3804,gerunt,singular
3805,bellum,plural
3806,etiam,pronoun
3807,capit,2nd person
3808,dīvīsa,ablative
3809,spectant,2nd person
3810,capit,deponent
3811,ea,masculine
3812,Belgīs,genitive
3813,flūmine,masculine
3814,atque,pronoun
3815,gerunt,semi-deponent
3816,virtūte,genitive
3817,omnēs,neuter
3818,fortissimī,ablative
3819,absunt,1st person
3820,omnium,superlative
3821,aliam,genitive
3822,Gallia,genitive
3823,pars,plural
3824,animōs,singular
3825,reliquōs,nominative
3826,eōs,relative
3827,tertiam,plural
3828,occāsum,dative
3829,flūminis,accusative
3830,minimē,adjective
3831,ipsī,adverb
3832,Belgārum,feminine
3833,eōs,possessive
3834,tertiam,nominative
3835,partem,ablative
3836,capit,deponent
3837,lēgibus,accusative
3838,virtūte,masculine
3839,causā,masculine
3840,ab,preposition w/ acc.
3841,spectat,2nd person
3842,montēs,neuter
3843,etiam,pronoun
3844,minimē,adjective
3845,quae,masculine
3846,fīnibus,accusative
3847,Celtae,accusative
3848,Belgārum,singular
3849,sōlis,neuter
3850,ā,pronoun
3851,lēgibus,singular
3852,lēgibus,accusative
3853,quārum,reflexive
3854,orientem,semi-deponent
3855,ūna,demonstrative
3856,quārum,singular
3857,appellantur,singular
3858,atque,adjective
3859,sē,adjective
3860,virtūte,plural
3861,atque,adjective
3862,gerunt,deponent
3863,etiam,pronoun
3864,gerunt,imperative
3865,dīvīsa,active
3866,quārum,masculine
3867,initium,genitive
3868,virtūte,masculine
3869,montēs,feminine
3870,Galliae,plural
3871,Celtae,ablative
3872,obtinēre,subjunctive
3873,omnēs,ablative
3874,eōs,singular
3875,continētur,imperfect
3876,dictum est,plural
3877,omnis,dative
3878,orientem,neuter
3879,lēgibus,singular
3880,prōvinciae,ablative
3881,eōrum,feminine
3882,prohibent,imperfect
3883,ad,preposition w/ abl.
3884,spectat,subjunctive
3885,eōs,reflexive
3886,animōs,neuter
3887,obtinēre,participle
3888,hōrum,feminine
3889,omnium,singular
3890,aliam,neuter
3891,in,conjunction
3892,Celtae,ablative
3893,capit,future
3894,quibus,singular
3895,mercātōrēs,dative
3896,omnis,plural
3897,sōlis,plural
3898,in,conjunction
3899,inter,conjunction
3900,Galliae,neuter
3901,atque,adjective
3902,omnis,dative
3903,etiam,pronoun
3904,continētur,plural
3905,suīs,singular
3906,spectat,imperative
3907,Belgārum,singular
3908,sē,dative
3909,suīs,comparative
3910,cum,pronoun
3911,spectat,passive
3912,aliam,demonstrative
3913,pars,plural
3914,prohibent,singular
3915,quā,masculine
3916,ipsī,reflexive
3917,suīs,1st person
3918,continētur,active
3919,hī,singular
3920,est,plural
3921,causā,plural
3922,initium,plural
3923,quārum,neuter
3924,montēs,feminine
3925,sē,demonstrative
3926,lēgibus,nominative
3927,flūmine,plural
3928,eam,ablative
3929,bellum,dative
3930,ipsī,accusative
3931,etiam,pronoun
3932,etiam,pronoun
3933,proximī,comparative
3934,flūmen,dative
3935,linguā,accusative
3936,Hispāniam,plural
3937,linguā,masculine
3938,incolunt,future perfect
3939,atque,adjective
3940,quibus,genitive
3941,est,future
3942,cotīdiānīs,singular
3943,incolunt,1st person
3944,Belgārum,neuter
3945,prohibent,future
3946,quā,plural
3947,sunt,subjunctive
3948,Galliae,ablative
3949,spectant,semi-deponent
3950,dē,adjective
3951,mercātōrēs,genitive
3952,quae,genitive
3953,quae,genitive
3954,quae,genitive
3955,quae,genitive
3956,quae,genitive
3957,inter,adverb
3958,flūmen,dative
3959,orientem,accusative
3960,flūmen,ablative
3961,spectant,1st person
3962,quam,noun
3963,spectat,subjunctive
3964,aliam,demonstrative
3965,sunt,pluperfect
3966,Germānīs,superlative
3967,Germānīs,singular
3968,ab,pronoun
3969,appellantur,singular
3970,eam,reflexive
3971,eōrum,1st person
3972,Gallia,accusative
3973,spectat,plural
3974,prōvinciae,masculine
3975,ipsōrum,singular
3976,capit,subjunctive
3977,Belgīs,neuter
3978,cum,pronoun
3979,dē,noun
3980,obtinēre,gerund
3981,prōvinciae,ablative
3982,mercātōrēs,genitive
3983,dictum est,imperative
3984,trāns,pronoun
3985,eōs,reflexive
3986,oriuntur,subjunctive
3987,omnium,ablative
3988,etiam,pronoun
3989,flūmen,ablative
3990,omnēs,neuter
3991,montēs,genitive
3992,Gallia,neuter
3993,animōs,neuter
3994,ipsī,relative
3995,fīnibus,masculine
3996,atque,pronoun
3997,flūmine,plural
3998,prōvinciae,ablative
3999,incolunt,2nd person
4000,sunt,pluperfect
4001,ūna,ablative
4002,in,conjunction
4003,sōlem,nominative
4004,eōs,interrogative
4005,incolunt,deponent
4006,ipsī,ablative
4007,omnium,accusative
4008,dīvīsa,active
4009,Belgae,accusative
4010,bellum,plural
4011,cotīdiānīs,singular
4012,ipsī,adverb
4013,Hispāniam,ablative
4014,inter,pronoun
4015,sōlem,genitive
4016,montēs,genitive
4017,contendunt,singular
4018,lēgibus,genitive
4019,pars,genitive
4020,prōvinciae,ablative
4021,absunt,subjunctive
4022,quam,reflexive
4023,eōs,reflexive
4024,et,pronoun
4025,pertinet,passive
4026,etiam,pronoun
4027,continenter,deponent
4028,-que,adjective
4029,Hispāniam,neuter
4030,trēs,neuter
4031,inter,pronoun
4032,ad,conjunction
4033,oriuntur,semi-deponent
4034,oriuntur,semi-deponent
4035,quae,noun
4036,trāns,preposition w/ abl.
4037,partem,plural
4038,occāsum,neuter
4039,bellum,plural
4040,omnēs,dative
4041,eōrum,indefinite
4042,virtūte,plural
4043,spectat,passive
4044,continētur,plural
4045,quod,ablative
4046,continētur,plural
4047,quae,noun
4048,inter,pronoun
4049,appellantur,pluperfect
4050,dīvīsa,masculine
4051,dīvidit,subjunctive
4052,flūmen,feminine
4053,occāsum,neuter
4054,quae,masculine
4055,inter,adverb
4056,causā,neuter
4057,cotīdiānīs,nominative
4058,proeliīs,accusative
4059,Belgae,accusative
4060,Belgae,accusative
4061,quārum,accusative
4062,quā,demonstrative
4063,atque,adjective
4064,sōlem,neuter
4065,flūmen,masculine
4066,ea,genitive
4067,contendunt,imperative
4068,quae,genitive
4069,etiam,pronoun
4070,quā,noun
4071,partēs,neuter
4072,partēs,neuter
4073,eam,interrogative
4074,eam,interrogative
4075,etiam,pronoun
4076,gerunt,1st person
4077,hī,accusative
4078,flūmine,feminine
4079,spectant,imperative
4080,dīvīsa,accusative
4081,eam,genitive
4082,virtūte,masculine
4083,spectat,2nd person
4084,Hispāniam,genitive
4085,ipsōrum,dative
4086,animōs,neuter
4087,dictum est,semi-deponent
4088,trāns,adverb
4089,flūmen,plural
4090,prōvinciae,ablative
4091,Belgae,ablative
4092,Belgārum,singular
4093,Germānīs,accusative
4094,sōlem,dative
4095,fīnibus,accusative
4096,continenter,passive
4097,continenter,passive
4098,aliam,plural
4099,ea,masculine
4100,quod,plural
4101,tertiam,neuter
4102,Germānīs,nominative
4103,ipsī,accusative
4104,Belgārum,singular
4105,etiam,pronoun
4106,sē,genitive
4107,capit,plural
4108,virtūte,accusative
4109,linguā,neuter
4110,absunt,deponent
4111,quā,demonstrative
4112,partem,masculine
4113,incolunt,pluperfect
4114,trāns,pronoun
4115,flūminis,plural
4116,gerunt,2nd person
4117,atque,adjective
4118,pertinet,passive
4119,pertinent,2nd person
4120,eōrum,feminine
4121,eōs,1st person
4122,dictum est,masculine
4123,omnēs,singular
4124,continenter,future
4125,hōrum,ablative
4126,Germānīs,singular
4127,in,conjunction
4128,mercātōrēs,dative
4129,contendunt,singular
4130,hōrum,singular
4131,Galliae,neuter
4132,virtūte,neuter
4133,trāns,conjunction
4134,in,conjunction
4135,in,conjunction
4136,in,conjunction
4137,flūmen,plural
4138,quī,neuter
4139,pertinet,passive
4140,et,pronoun
4141,ab,noun
4142,flūmen,genitive
4143,gerunt,imperative
4144,est,1st person
4145,capit,plural
4146,flūmine,plural
4147,ad,pronoun
4148,contendunt,semi-deponent
4149,appellantur,1st person
4150,initium,ablative
4151,quibus,nominative
4152,partēs,neuter
4153,omnis,accusative
4154,lēgibus,singular
4155,partem,masculine
4156,Belgārum,singular
4157,quam,masculine
4158,obtinēre,indicative
4159,omnis,comparative
4160,tertiam,masculine
4161,trāns,preposition w/ abl.
4162,tertiam,nominative
4163,et,pronoun
4164,continenter,future
4165,continētur,deponent
4166,ad,adverb
4167,linguā,plural
4168,linguā,plural
4169,Hispāniam,ablative
4170,ūnam,masculine
4171,dē,noun
4172,quae,noun
4173,gerunt,singular
4174,tertiam,plural
4175,flūminis,plural
4176,inter,pronoun
4177,initium,dative
4178,virtūte,plural
4179,omnis,plural
4180,dē,pronoun
4181,prōvinciae,masculine
4182,etiam,pronoun
4183,mercātōrēs,ablative
4184,spectat,deponent
4185,ipsōrum,reflexive
4186,appellantur,singular
4187,est,imperfect
4188,quae,dative
4189,ā,noun
4190,flūminis,feminine
4191,contendunt,1st person
4192,ea,masculine
4193,hī,singular
4194,sē,genitive
4195,et,pronoun
4196,ipsōrum,feminine
4197,proeliīs,feminine
4198,sōlis,dative
4199,fīnibus,masculine
4200,inter,pronoun
4201,quī,noun
4202,prōvinciae,accusative
4203,flūmen,ablative
4204,prohibent,semi-deponent
4205,ūna,demonstrative
4206,prōvinciae,masculine
4207,hī,genitive
4208,Germānīs,genitive
4209,quārum,demonstrative
4210,Galliae,neuter
4211,tertiam,ablative
4212,et,pronoun
4213,dīvidit,plural
4214,initium,masculine
4215,montēs,neuter
4216,quae,masculine
4217,Belgārum,feminine
4218,dīvidit,subjunctive
4219,sōlis,dative
4220,pars,plural
4221,ipsōrum,feminine
4222,lēgibus,nominative
4223,obtinēre,plural
4224,ipsī,accusative
4225,Galliae,nominative
4226,mercātōrēs,feminine
4227,virtūte,accusative
4228,virtūte,accusative
4229,capit,2nd person
4230,quī,neuter
4231,proeliīs,feminine
4232,gerunt,1st person
4233,est,perfect
4234,spectat,2nd person
4235,tertiam,genitive
4236,ipsī,adverb
4237,ipsī,adverb
4238,ipsī,adverb
4239,eam,plural
4240,Belgīs,singular
4241,ad,adverb
4242,et,pronoun
4243,trāns,conjunction
4244,partēs,masculine
4245,hī,neuter
4246,quā,genitive
4247,contendunt,semi-deponent
4248,quod,ablative
4249,sē,nominative
4250,incolunt,deponent
4251,tertiam,neuter
4252,ab,conjunction
4253,obtinēre,1st person
4254,ā,preposition w/ acc.
4255,ūna,masculine
4256,eam,interrogative
4257,pertinent,semi-deponent
4258,quod,noun
4259,Belgae,accusative
4260,eōs,feminine
4261,initium,dative
4262,dictum est,masculine
4263,lēgibus,genitive
4264,eōrum,singular
4265,spectant,semi-deponent
4266,prōvinciae,masculine
4267,prōvinciae,accusative
4268,ūnam,plural
4269,dictum est,deponent
4270,dīvīsa,superlative
4271,pertinet,subjunctive
4272,obtinēre,subjunctive
4273,incolunt,passive
4274,incolunt,passive
4275,incolunt,passive
4276,eōrum,feminine
4277,eōrum,feminine
4278,eōrum,feminine
4279,eōrum,feminine
4280,eōrum,feminine
4281,eōrum,feminine
4282,eōrum,feminine
4283,eōrum,feminine
4284,eōrum,feminine
4285,eōrum,feminine
4286,eōrum,feminine
4287,eōrum,feminine
4288,trēs,neuter
4289,flūminis,feminine
4290,causā,plural
4291,causā,accusative
4292,minimē,positive
4293,proximī,dative
4294,sōlis,accusative
4295,oriuntur,future perfect
4296,quārum,demonstrative
4297,partem,plural
4298,occāsum,plural
4299,quārum,nominative
4300,orientem,perfect
4301,dīvīsa,semi-deponent
4302,quā,demonstrative
4303,hī,dative
4304,eōrum,singular
4305,ea,1st person
4306,-que,pronoun
4307,et,pronoun
4308,ad,pronoun
4309,fortissimī,feminine
4310,pertinet,passive
4311,in,adverb
4312,animōs,singular
4313,quam,demonstrative
4314,omnium,dative
4315,sē,nominative
4316,eam,dative
4317,cum,preposition w/ acc.
4318,omnis,comparative
4319,linguā,dative
4320,continētur,1st person
4321,sōlem,plural
4322,partem,dative
4323,ā,adjective
4324,prohibent,2nd person
4325,omnis,accusative
4326,omnis,plural
4327,quī,demonstrative
4328,ūna,superlative
4329,omnium,singular
4330,suīs,accusative
4331,dīvīsa,ablative
4332,atque,pronoun
4333,flūmen,ablative
4334,ab,noun
4335,ab,noun
4336,Belgārum,singular
4337,orientem,dative
4338,quae,reflexive
4339,gerunt,singular
4340,appellantur,imperative
4341,ūna,dative
4342,fīnibus,neuter
4343,initium,feminine
4344,proximī,positive
4345,trēs,dative
4346,trēs,dative
4347,pars,plural
4348,appellantur,semi-deponent
4349,Gallia,dative
4350,obtinēre,indicative
4351,Gallia,neuter
4352,suīs,comparative
4353,spectat,deponent
4354,Hispāniam,dative
4355,fīnibus,nominative
4356,oriuntur,1st person
4357,ūnam,plural
4358,ūnam,plural
4359,in,adverb
4360,in,adverb
4361,trēs,ablative
4362,lēgibus,singular
4363,Belgārum,feminine
4364,quī,reflexive
4365,minimē,adjective
4366,eōs,singular
4367,Germānīs,singular
4368,quā,reflexive
4369,initium,plural
4370,ad,conjunction
4371,continenter,superlative
4372,trāns,adverb
4373,dictum est,feminine
4374,sōlem,feminine
4375,quod,plural
4376,quī,noun
4377,eam,masculine
4378,Galliae,ablative
4379,ā,preposition w/ acc.
4380,cotīdiānīs,superlative
4381,in,conjunction
4382,reliquōs,comparative
4383,mercātōrēs,singular
4384,spectat,indicative
4385,montēs,neuter
4386,inter,pronoun
4387,tertiam,plural
4388,lēgibus,accusative
4389,aliam,superlative
4390,hī,singular
4391,quod,noun
4392,dē,noun
4393,gerunt,1st person
4394,omnium,singular
4395,fortissimī,ablative
4396,capit,2nd person
4397,virtūte,accusative
4398,capit,semi-deponent
4399,aliam,comparative
4400,Hispāniam,plural
4401,dictum est,future
4402,continētur,active
4403,ad,adverb
4404,dīvīsa,semi-deponent
4405,oriuntur,singular
4406,virtūte,masculine
4407,pertinet,plural
4408,montēs,neuter
4409,eōrum,ablative
4410,Germānīs,nominative
4411,Belgae,ablative
4412,pertinet,perfect
4413,continenter,superlative
4414,spectant,semi-deponent
4415,appellantur,active
4416,eōs,2nd person
4417,continētur,1st person
4418,continētur,1st person
4419,continētur,1st person
4420,eōrum,indefinite
4421,partēs,genitive
4422,trāns,preposition w/ abl.
4423,in,conjunction
4424,in,conjunction
4425,in,conjunction
4426,ea,masculine
4427,in,conjunction
4428,dictum est,2nd person
4429,montēs,feminine
4430,in,conjunction
4431,eam,plural
4432,omnis,ablative
4433,incolunt,imperative
4434,ūna,demonstrative
4435,ūna,demonstrative
4436,ā,adverb
4437,ā,adverb
4438,Germānīs,nominative
4439,oriuntur,singular
4440,quibus,singular
4441,oriuntur,2nd person
4442,Galliae,accusative
4443,pertinent,perfect
4444,dīvidit,semi-deponent
4445,eam,masculine
4446,prohibent,singular
4447,sē,1st person
4448,occāsum,neuter
4449,pertinet,plural
4450,appellantur,singular
4451,absunt,subjunctive
4452,eōs,possessive
4453,omnēs,neuter
4454,animōs,dative
4455,orientem,not deponent
4456,dictum est,present
4457,sōlem,neuter
4458,cum,adverb
4459,aliam,plural
4460,reliquōs,singular
4461,quā,reflexive
4462,dictum est,future
4463,proeliīs,singular
4464,linguā,plural
4465,Germānīs,genitive
4466,tertiam,plural
4467,linguā,plural
4468,gerunt,semi-deponent
4469,hōrum,indefinite
4470,contendunt,singular
4471,quae,demonstrative
4472,quī,feminine
4473,tertiam,plural
4474,reliquōs,feminine
4475,ūna,genitive
4476,Germānīs,genitive
4477,eōrum,feminine
4478,initium,ablative
4479,Celtae,accusative
4480,oriuntur,future perfect
4481,flūmine,feminine
4482,eōs,neuter
4483,pertinet,plural
4484,quārum,dative
4485,eōs,1st person
4486,dē,adjective
4487,inter,adverb
4488,eam,2nd person
4489,ūna,superlative
4490,partēs,neuter
4491,ūnam,comparative
4492,spectant,semi-deponent
4493,occāsum,plural
4494,contendunt,perfect
4495,prōvinciae,ablative
4496,etiam,pronoun
4497,Gallia,masculine
4498,sē,demonstrative
4499,incolunt,passive
4500,animōs,singular
4501,hī,possessive
4502,cotīdiānīs,singular
4503,orientem,future
4504,flūminis,masculine
4505,ab,pronoun
4506,eōrum,feminine
4507,reliquōs,ablative
4508,ab,adverb
4509,sōlis,plural
4510,virtūte,plural
4511,orientem,neuter
4512,-que,pronoun
4513,cotīdiānīs,nominative
4514,dē,conjunction
4515,Gallia,genitive
4516,ea,masculine
4517,reliquōs,neuter
4518,quā,noun
4519,partem,nominative
4520,eōrum,accusative
4521,flūminis,masculine
4522,dīvīsa,genitive
4523,trāns,preposition w/ abl.
4524,pertinet,1st person
4525,initium,plural
4526,ūna,neuter
4527,eam,relative
4528,gerunt,2nd person
4529,contendunt,singular
4530,occāsum,plural
4531,etiam,pronoun
4532,longissimē,comparative
4533,absunt,2nd person
4534,quam,masculine
4535,quā,plural
4536,causā,dative
4537,omnis,ablative
4538,hī,neuter
4539,hī,neuter
4540,prōvinciae,accusative
4541,prōvinciae,accusative
4542,prohibent,future perfect
4543,capit,deponent
4544,capit,deponent
4545,obtinēre,participle
4546,partem,plural
4547,ipsōrum,feminine
4548,incolunt,passive
4549,dē,adverb
4550,prōvinciae,accusative
4551,hī,genitive
4552,quam,reflexive
4553,Belgae,neuter
4554,virtūte,masculine
4555,Galliae,ablative
4556,absunt,imperative
4557,est,subjunctive
4558,Belgārum,nominative
4559,dē,adjective
4560,dē,conjunction
4561,dē,conjunction
4562,ūnam,ordinal
4563,trēs,genitive
4564,sunt,subjunctive
4565,quibus,demonstrative
4566,quī,demonstrative
4567,sunt,imperfect
4568,bellum,dative
4569,fortissimī,ablative
4570,ipsī,relative
4571,-que,pronoun
4572,Gallia,dative
4573,montēs,feminine
4574,montēs,feminine
4575,partem,dative
4576,Belgārum,singular
4577,tertiam,plural
4578,prohibent,singular
4579,linguā,neuter
4580,atque,adjective
4581,prōvinciae,ablative
4582,eōrum,feminine
4583,omnēs,singular
4584,-que,adjective
4585,trāns,preposition w/ abl.
4586,ipsī,ablative
4587,virtūte,masculine
4588,cotīdiānīs,nominative
4589,Celtae,accusative
4590,sunt,1st person
4591,quae,masculine
4592,Belgae,accusative
4593,animōs,nominative
4594,capit,imperative
4595,orientem,neuter
4596,causā,masculine
4597,bellum,ablative
4598,eōrum,2nd person
4599,fīnibus,neuter
4600,Belgae,neuter
4601,pertinet,passive
4602,Galliae,plural
4603,Galliae,plural
4604,Galliae,plural
4605,ā,pronoun
4606,proeliīs,feminine
4607,trāns,adverb
4608,etiam,pronoun
4609,dīvidit,pluperfect
4610,spectat,deponent
4611,omnis,superlative
4612,inter,conjunction
4613,inter,conjunction
4614,Belgae,ablative
4615,omnis,accusative
4616,continenter,superlative
4617,flūminis,nominative
4618,tertiam,neuter
4619,linguā,plural
4620,ab,conjunction
4621,ipsōrum,nominative
4622,est,future
